index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
43.0,AAPL,2019-01-09,2019-01-11,46438.0,13431.0,152.5,3055.0,18338.0,0.607277786,AAPL,2019-01-09,37.04,37.34,36.15,36.56,186652391.0,153.31,154.53,149.63,151.29
71.0,AAPL,2019-01-16,2019-01-18,44082.0,58239.0,155.0,40425.0,17100.0,0.471071348,AAPL,2019-01-16,37.44,37.66,36.97,36.99,126519757.0,154.94,155.88,153.0,153.08
27.0,AAPL,2019-01-23,2019-01-25,13671.0,4066.0,152.5,7053.0,14946.0,0.626828851,AAPL,2019-01-23,37.19,37.48,36.65,37.25,95730769.0,153.92,155.14,151.7,154.15
36.0,AAPL,2019-01-30,2019-02-01,67744.0,20835.0,165.0,1457.0,14392.0,0.53192117,AAPL,2019-01-30,39.93,40.15,38.72,39.44,252916589.0,165.25,166.15,160.23,163.25
40.0,AAPL,2019-02-06,2019-02-08,50675.0,17912.0,175.0,4307.0,13365.0,0.352499289,AAPL,2019-02-06,42.1,42.42,41.76,42.2,116875577.0,174.24,175.57,172.85,174.65
33.0,AAPL,2019-02-13,2019-02-15,18669.0,26047.0,170.0,18077.0,15787.0,0.57668551,AAPL,2019-02-13,41.3,41.85,41.23,41.59,92683236.0,170.18,172.48,169.92,171.39
36.0,AAPL,2019-02-20,2019-02-22,38666.0,12246.0,172.5,2671.0,15016.0,0.428773194,AAPL,2019-02-20,41.74,42.06,41.49,41.54,107618374.0,172.03,173.32,170.99,171.19
31.0,AAPL,2019-02-27,2019-03-01,29787.0,20922.0,175.0,7321.0,11111.0,0.451805241,AAPL,2019-02-27,42.43,42.46,41.91,42.03,114710814.0,174.87,175.0,172.73,173.21
31.0,AAPL,2019-03-06,2019-03-08,23979.0,9969.0,175.0,7955.0,11632.0,0.461686944,AAPL,2019-03-06,42.35,42.58,42.21,42.38,85760350.0,174.52,175.49,173.94,174.67
32.0,AAPL,2019-03-13,2019-03-15,45763.0,15546.0,182.5,2849.0,13199.0,0.487888449,AAPL,2019-03-13,44.09,44.48,43.9,44.22,127886571.0,181.71,183.3,180.92,182.25
29.0,AAPL,2019-03-20,2019-03-22,39442.0,13809.0,187.5,6743.0,16437.0,0.630833303,AAPL,2019-03-20,45.66,45.98,44.83,45.19,127897788.0,188.16,189.49,184.73,186.23
24.0,AAPL,2019-03-27,2019-03-29,31086.0,9142.0,187.5,10558.0,34241.0,0.618584344,AAPL,2019-03-27,45.73,46.05,45.27,45.8,123006715.0,188.47,189.76,186.55,188.75
27.0,AAPL,2019-04-03,2019-04-05,37629.0,18622.0,195.0,5352.0,28242.0,0.535296485,AAPL,2019-04-03,47.4,47.68,46.87,46.89,95904390.0,195.35,196.5,193.15,193.25
29.0,AAPL,2019-04-10,2019-04-12,43695.0,20277.0,200.0,10461.0,19119.0,0.577125529,AAPL,2019-04-10,48.68,48.71,48.09,48.21,89407125.0,200.62,200.74,198.18,198.68
53.0,AAPL,2019-04-17,2019-04-18,54512.0,18076.0,202.5,2889.0,26458.0,0.618634558,AAPL,2019-04-17,49.29,49.35,48.19,48.42,119126053.0,203.13,203.38,198.61,199.54
32.0,AAPL,2019-04-24,2019-04-26,30476.0,11931.0,207.5,3878.0,12515.0,0.546931551,AAPL,2019-04-24,50.27,50.59,50.24,50.32,72285753.0,207.16,208.48,207.05,207.36
24.0,AAPL,2019-05-01,2019-05-03,76475.0,11997.0,215.0,1719.0,40153.0,0.260087163,AAPL,2019-05-01,51.08,52.25,50.77,50.93,267156919.0,210.52,215.31,209.23,209.88
19.0,AAPL,2019-05-08,2019-05-10,18661.0,5336.0,202.5,7854.0,13416.0,0.602998218,AAPL,2019-05-08,49.24,49.83,48.96,48.99,108546442.0,202.9,205.34,201.75,201.9
30.0,AAPL,2019-05-15,2019-05-17,31498.0,24727.0,190.0,25713.0,25536.0,0.640141091,AAPL,2019-05-15,46.51,46.71,45.31,45.37,108972402.0,190.92,191.75,186.02,186.27
16.0,AAPL,2019-05-22,2019-05-24,35617.0,5964.0,185.0,7275.0,14786.0,0.356954011,AAPL,2019-05-22,44.52,45.24,44.47,44.98,122124684.0,182.78,185.71,182.55,184.66
13.0,AAPL,2019-05-29,2019-05-31,18870.0,1813.0,177.5,10328.0,21086.0,0.508871118,AAPL,2019-05-29,43.21,43.69,42.87,42.97,116921739.0,177.38,179.35,176.0,176.42
33.0,AAPL,2019-06-05,2019-06-07,24550.0,11183.0,182.5,4381.0,26470.0,0.473816639,AAPL,2019-06-05,44.47,45.06,44.12,44.89,122227017.0,182.54,184.99,181.14,184.28
38.0,AAPL,2019-06-12,2019-06-14,22110.0,10729.0,195.0,4702.0,15977.0,0.422077622,AAPL,2019-06-12,47.3,47.74,47.11,47.24,74933454.0,194.19,195.97,193.38,193.95
49.0,AAPL,2019-06-19,2019-06-21,16213.0,16734.0,197.5,5194.0,14009.0,0.640381733,AAPL,2019-06-19,48.2,48.69,48.06,48.64,86720045.0,197.87,199.88,197.31,199.68
39.0,AAPL,2019-06-26,2019-06-28,6589.0,4852.0,197.5,7248.0,19795.0,0.706298866,AAPL,2019-06-26,48.67,48.96,48.07,48.18,107013363.0,199.8,200.99,197.35,197.77
27.0,AAPL,2019-07-10,2019-07-12,18139.0,9614.0,202.5,6414.0,15096.0,0.60240669,AAPL,2019-07-10,49.5,49.63,49.1,49.17,73471920.0,203.23,203.73,201.56,201.85
30.0,AAPL,2019-07-17,2019-07-19,30045.0,36069.0,205.0,11024.0,12916.0,0.361977086,AAPL,2019-07-17,49.53,49.96,49.52,49.7,57914333.0,203.35,205.09,203.27,204.05
24.0,AAPL,2019-07-24,2019-07-26,14688.0,16357.0,207.5,5056.0,15569.0,0.629288691,AAPL,2019-07-24,50.83,50.95,50.46,50.59,61543768.0,208.67,209.15,207.17,207.67
28.0,AAPL,2019-07-31,2019-08-02,69829.0,19718.0,220.0,1625.0,21602.0,0.128202611,AAPL,2019-07-31,51.89,53.92,51.47,52.72,284416628.0,213.04,221.37,211.3,216.42
22.0,AAPL,2019-08-07,2019-08-09,11336.0,7633.0,195.0,8473.0,22013.0,0.784970783,AAPL,2019-08-07,48.48,48.61,47.21,47.6,136969082.0,199.04,199.56,193.82,195.41
34.0,AAPL,2019-08-14,2019-08-16,35526.0,23543.0,205.0,19384.0,26445.0,0.402098045,AAPL,2019-08-14,49.58,50.48,49.54,49.68,149468100.0,202.75,206.44,202.59,203.16
29.0,AAPL,2019-08-21,2019-08-23,13622.0,12599.0,212.5,3276.0,9312.0,0.489752523,AAPL,2019-08-21,51.99,52.24,51.74,52.08,88193207.0,212.64,213.65,211.6,212.99
26.0,AAPL,2019-08-28,2019-08-30,12138.0,8806.0,205.0,11566.0,10502.0,0.530046847,AAPL,2019-08-28,50.26,50.3,49.72,49.91,65261821.0,205.53,205.72,203.32,204.1
27.0,AAPL,2019-09-04,2019-09-06,11641.0,6352.0,207.5,6699.0,16755.0,0.673011744,AAPL,2019-09-04,51.15,51.22,50.69,50.96,78591027.0,209.19,209.48,207.32,208.39
33.0,AAPL,2019-09-11,2019-09-13,45392.0,10484.0,222.5,311.0,14675.0,0.554623899,AAPL,2019-09-11,54.67,54.7,53.24,53.32,181131489.0,223.59,223.71,217.73,218.07
