index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
13.0,AMD,2019-01-02,2019-01-04,16878.0,7418.0,19.0,990.0,3363.0,0.425862483,AMD,2019-01-02,18.83,19.0,17.98,18.01,87148600.0,18.83,19.0,17.98,18.01
17.0,AMD,2019-01-09,2019-01-11,26471.0,9759.0,21.0,1502.0,9464.0,0.257459654,AMD,2019-01-09,20.19,21.44,20.07,20.89,163944000.0,20.19,21.44,20.07,20.89
25.0,AMD,2019-01-16,2019-01-18,8801.0,12652.0,20.5,7411.0,3267.0,0.233547947,AMD,2019-01-16,19.73,20.54,19.71,20.4,70849200.0,19.73,20.54,19.71,20.4
15.0,AMD,2019-01-23,2019-01-25,9565.0,6714.0,20.0,7915.0,7229.0,0.420340523,AMD,2019-01-23,19.8,20.48,19.55,20.03,77811200.0,19.8,20.48,19.55,20.03
21.0,AMD,2019-01-30,2019-02-01,33145.0,10919.0,23.0,635.0,13536.0,0.49516271,AMD,2019-01-30,23.09,23.13,21.37,21.49,211421104.0,23.09,23.13,21.37,21.49
24.0,AMD,2019-02-06,2019-02-08,21357.0,15633.0,24.0,8263.0,3138.0,0.24423025,AMD,2019-02-06,23.26,24.14,23.22,23.63,78684304.0,23.26,24.14,23.22,23.63
25.0,AMD,2019-02-13,2019-02-15,15930.0,19379.0,23.0,9316.0,8336.0,0.443485695,AMD,2019-02-13,22.85,23.24,22.71,22.98,57544100.0,22.85,23.24,22.71,22.98
23.0,AMD,2019-02-20,2019-02-22,14871.0,14832.0,24.0,7385.0,8107.0,0.515000709,AMD,2019-02-20,23.95,24.37,23.9,24.14,57091600.0,23.95,24.37,23.9,24.14
21.0,AMD,2019-02-27,2019-03-01,15478.0,7796.0,24.0,8212.0,7132.0,0.274218599,AMD,2019-02-27,23.48,24.23,23.21,24.11,62649300.0,23.48,24.23,23.21,24.11
18.0,AMD,2019-03-06,2019-03-08,10698.0,6586.0,23.5,5177.0,1979.0,0.145507384,AMD,2019-03-06,22.41,23.53,22.4,23.47,60479400.0,22.41,23.53,22.4,23.47
26.0,AMD,2019-03-13,2019-03-15,14439.0,27969.0,24.0,10001.0,8772.0,0.258432855,AMD,2019-03-13,23.38,24.15,23.35,23.66,56705700.0,23.38,24.15,23.35,23.66
22.0,AMD,2019-03-20,2019-03-22,14770.0,6052.0,26.5,386.0,3009.0,0.260530741,AMD,2019-03-20,25.7,26.88,25.31,26.49,151292096.0,25.7,26.88,25.31,26.49
19.0,AMD,2019-03-27,2019-03-29,11113.0,6166.0,25.0,9329.0,13862.0,0.465614764,AMD,2019-03-27,24.89,25.88,24.55,25.7,88585200.0,24.89,25.88,24.55,25.7
24.0,AMD,2019-04-03,2019-04-05,16523.0,5687.0,28.0,905.0,26107.0,0.774945869,AMD,2019-04-03,29.02,29.95,27.88,28.02,197650400.0,29.02,29.95,27.88,28.02
24.0,AMD,2019-04-10,2019-04-12,20690.0,9696.0,28.0,9386.0,5804.0,0.455113729,AMD,2019-04-10,27.83,28.12,27.32,27.46,64368100.0,27.83,28.12,27.32,27.46
33.0,AMD,2019-04-17,2019-04-18,14847.0,32587.0,28.0,11794.0,4630.0,0.28081896,AMD,2019-04-17,27.49,28.27,27.22,28.21,48240700.0,27.49,28.27,27.22,28.21
25.0,AMD,2019-04-24,2019-04-26,12282.0,15928.0,28.0,5512.0,5578.0,0.684755801,AMD,2019-04-24,28.46,28.85,27.93,28.1,51784700.0,28.46,28.85,27.93,28.1
17.0,AMD,2019-05-01,2019-05-03,5150.0,4321.0,27.0,9239.0,12617.0,0.477642178,AMD,2019-05-01,26.81,29.15,26.78,28.95,136066896.0,26.81,29.15,26.78,28.95
18.0,AMD,2019-05-08,2019-05-10,9296.0,9784.0,27.0,7924.0,6741.0,0.588396771,AMD,2019-05-08,27.09,27.71,26.27,26.41,65967500.0,27.09,27.71,26.27,26.41
25.0,AMD,2019-05-15,2019-05-17,10788.0,11469.0,27.5,4560.0,3829.0,0.549023223,AMD,2019-05-15,27.58,27.79,26.73,26.87,55689800.0,27.58,27.79,26.73,26.87
13.0,AMD,2019-05-22,2019-05-24,7184.0,14330.0,27.5,7438.0,1501.0,0.502641549,AMD,2019-05-22,27.41,27.59,27.07,27.12,40035200.0,27.41,27.59,27.07,27.12
18.0,AMD,2019-05-29,2019-05-31,22301.0,12849.0,29.0,5396.0,6190.0,0.235954432,AMD,2019-05-29,28.09,29.32,27.73,29.0,99969600.0,28.09,29.32,27.73,29.0
18.0,AMD,2019-06-05,2019-06-07,10922.0,14184.0,29.5,5285.0,11319.0,0.490262806,AMD,2019-06-05,29.5,29.99,29.03,29.93,79481504.0,29.5,29.99,29.03,29.93
25.0,AMD,2019-06-12,2019-06-14,11521.0,6451.0,32.5,6619.0,2208.0,0.436592744,AMD,2019-06-12,32.18,32.57,31.92,32.0,56298600.0,32.18,32.57,31.92,32.0
21.0,AMD,2019-06-19,2019-06-21,7763.0,6989.0,30.5,4500.0,3197.0,0.542364017,AMD,2019-06-19,30.5,30.79,30.06,30.67,63233900.0,30.5,30.79,30.06,30.67
