index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
185.0,AMZN,2019-01-02,2019-01-04,1480.0,994.0,1525.0,87,718.0,0.601886117,AMZN,2019-01-02,76.96,77.67,73.05,73.26,159662000.0,1539.13,1553.36,1460.93,1465.2
253.0,AMZN,2019-01-09,2019-01-11,246.0,87.0,1667.5,39,64.0,0.430548877,AMZN,2019-01-09,82.97,83.39,82.07,82.65,126976000.0,1659.42,1667.8,1641.4,1652.98
290.0,AMZN,2019-01-16,2019-01-18,1120.0,381.0,1705.0,33,361.0,0.320966285,AMZN,2019-01-16,84.19,85.25,83.79,84.21,127336000.0,1683.78,1705.0,1675.88,1684.22
178.0,AMZN,2019-01-23,2019-01-25,670.0,190.0,1655.0,311,307.0,0.385336647,AMZN,2019-01-23,82.0,82.87,80.6,82.8,104504000.0,1640.02,1657.43,1612.0,1656.0
189.0,AMZN,2019-01-30,2019-02-01,98.0,91.0,1672.5,65,71.0,0.500740562,AMZN,2019-01-30,83.52,83.85,80.98,81.15,115675992.0,1670.43,1676.95,1619.68,1623.0
185.0,AMZN,2019-02-06,2019-02-08,429.0,124.0,1667.5,68,132.0,0.195829508,AMZN,2019-02-06,82.01,83.61,81.67,83.54,78796000.0,1640.26,1672.26,1633.34,1670.75
209.0,AMZN,2019-02-13,2019-02-15,1619.0,681.0,1645.0,633,823.0,0.48002592,AMZN,2019-02-13,82.0,82.82,81.86,82.35,71206000.0,1640.0,1656.38,1637.11,1647.0
158.0,AMZN,2019-02-20,2019-02-22,632.0,225.0,1632.5,274,337.0,0.354181813,AMZN,2019-02-20,81.1,81.75,80.51,81.5,66750000.0,1622.1,1634.93,1610.12,1630.0
137.0,AMZN,2019-02-27,2019-03-01,2527.0,819.0,1620.0,852,1702.0,0.757746662,AMZN,2019-02-27,82.05,82.09,80.76,81.41,62976000.0,1641.09,1641.81,1615.1,1628.18
159.0,AMZN,2019-03-06,2019-03-08,3878.0,787.0,1680.0,884,2578.0,0.404595517,AMZN,2019-03-06,83.45,84.89,83.41,84.8,79920000.0,1668.95,1697.75,1668.28,1695.97
231.0,AMZN,2019-03-13,2019-03-15,11221.0,7743.0,1700.0,2306,2403.0,0.424362601,AMZN,2019-03-13,84.54,85.0,83.97,84.15,71040000.0,1690.81,1700.0,1679.35,1683.0
192.0,AMZN,2019-03-20,2019-03-22,492.0,323.0,1792.5,51,382.0,0.485015405,AMZN,2019-03-20,89.86,89.98,88.35,88.5,125312000.0,1797.27,1799.5,1767.03,1769.94
161.0,AMZN,2019-03-27,2019-03-29,1867.0,833.0,1785.0,282,942.0,0.325879826,AMZN,2019-03-27,88.28,89.38,87.28,89.21,86496000.0,1765.7,1787.5,1745.68,1784.13
176.0,AMZN,2019-04-03,2019-04-05,4176.0,1171.0,1830.0,89,1304.0,0.370204363,AMZN,2019-04-03,91.04,91.5,90.48,91.34,79610000.0,1820.7,1830.0,1809.62,1826.72
173.0,AMZN,2019-04-10,2019-04-12,803.0,496.0,1847.5,75,253.0,0.484593496,AMZN,2019-04-10,92.37,92.4,91.44,92.05,59278000.0,1847.33,1848.0,1828.81,1841.0
211.0,AMZN,2019-04-17,2019-04-18,3337.0,933.0,1865.0,642,2578.0,0.457761643,AMZN,2019-04-17,93.24,93.82,93.02,93.65,57870000.0,1864.82,1876.47,1860.44,1872.99
202.0,AMZN,2019-04-24,2019-04-26,1729.0,923.0,1920.0,511,651.0,0.454743244,AMZN,2019-04-24,95.09,96.48,94.91,96.25,73514000.0,1901.75,1929.69,1898.16,1925.0
186.0,AMZN,2019-05-01,2019-05-03,2133.0,835.0,1930.0,895,3192.0,0.35782628,AMZN,2019-05-01,95.58,97.18,95.53,96.65,62338000.0,1911.52,1943.64,1910.55,1933.09
174.0,AMZN,2019-05-08,2019-05-10,1066.0,595.0,1935.0,794,416.0,0.410672673,AMZN,2019-05-08,95.89,96.77,95.5,95.94,81570000.0,1917.77,1935.37,1910.0,1918.87
182.0,AMZN,2019-05-15,2019-05-17,448.0,312.0,1872.5,217,199.0,0.515063071,AMZN,2019-05-15,93.56,93.72,91.15,91.4,93852000.0,1871.15,1874.43,1823.0,1827.95
167.0,AMZN,2019-05-22,2019-05-24,3494.0,748.0,1870.0,1902-02-09,1108.0,0.476988044,AMZN,2019-05-22,92.98,93.57,92.55,92.59,58732000.0,1859.68,1871.48,1851.0,1851.78
139.0,AMZN,2019-05-29,2019-05-31,3718.0,673.0,1820.0,865,2614.0,0.481170407,AMZN,2019-05-29,90.96,91.5,90.38,91.16,85580000.0,1819.19,1830.0,1807.53,1823.12
144.0,AMZN,2019-06-05,2019-06-07,975.0,782.0,1747.5,64,234.0,0.336604448,AMZN,2019-06-05,86.92,87.6,85.76,87.48,84794000.0,1738.5,1752.0,1715.25,1749.6
192.0,AMZN,2019-06-12,2019-06-14,2966.0,805.0,1860.0,747,2158.0,0.464739899,AMZN,2019-06-12,92.77,93.25,92.22,92.7,53566000.0,1855.32,1865.0,1844.38,1853.98
253.0,AMZN,2019-06-19,2019-06-21,2264.0,985.0,1905.0,336,865.0,0.618904341,AMZN,2019-06-19,95.44,95.98,94.62,95.39,57905996.0,1908.79,1919.58,1892.47,1907.84
172.0,AMZN,2019-06-26,2019-06-28,453.0,354.0,1902.5,209,176.0,0.455214329,AMZN,2019-06-26,94.89,95.19,94.37,94.62,48838000.0,1897.83,1903.8,1887.32,1892.48
180.0,AMZN,2019-07-03,2019-07-05,382.0,527.0,1932.5,52,449.0,0.628535344,AMZN,2019-07-03,96.95,97.08,96.52,96.79,33804000.0,1939.0,1941.59,1930.5,1935.89
217.0,AMZN,2019-07-10,2019-07-12,4582.0,634.0,2017.5,9,1322.0,0.566279375,AMZN,2019-07-10,100.87,101.25,99.77,99.83,98638000.0,2017.41,2024.94,1995.4,1996.51
175.0,AMZN,2019-07-17,2019-07-19,3847.0,2696.0,2010.0,1859,1457.0,0.295383462,AMZN,2019-07-17,99.6,100.6,99.6,100.35,51176000.0,1992.03,2012.0,1992.03,2007.05
200.0,AMZN,2019-07-24,2019-07-26,1733.0,2025.0,2000.0,1322,371.0,0.499945741,AMZN,2019-07-24,100.04,100.06,98.29,98.46,52626000.0,2000.81,2001.3,1965.87,1969.3
158.0,AMZN,2019-07-31,2019-08-02,1302.0,504.0,1895.0,847,647.0,0.28093443,AMZN,2019-07-31,93.34,94.98,92.47,94.91,89414000.0,1866.78,1899.55,1849.44,1898.11
142.0,AMZN,2019-08-07,2019-08-09,2272.0,554.0,1780.0,776,1812.0,0.619100975,AMZN,2019-08-07,89.67,89.95,87.85,88.7,90536000.0,1793.4,1798.93,1757.0,1773.99
156.0,AMZN,2019-08-14,2019-08-16,874.0,316.0,1795.0,321,404.0,0.267879475,AMZN,2019-08-14,88.15,89.78,87.86,89.65,97872000.0,1762.96,1795.65,1757.22,1793.01
164.0,AMZN,2019-08-21,2019-08-23,808.0,230.0,1827.5,32,354.0,0.402745591,AMZN,2019-08-21,91.18,91.48,90.75,90.97,40784000.0,1823.54,1829.58,1815.0,1819.39
148.0,AMZN,2019-08-28,2019-08-30,1312.0,498.0,1765.0,482,880.0,0.500553182,AMZN,2019-08-28,88.21,88.39,87.2,87.75,48436000.0,1764.25,1767.86,1744.05,1755.0
144.0,AMZN,2019-09-04,2019-09-06,1690.0,331.0,1805.0,140,1158.0,0.504117601,AMZN,2019-09-04,90.03,90.38,89.81,90.25,46524000.0,1800.62,1807.63,1796.23,1805.0
148.0,AMZN,2019-09-11,2019-09-13,970.0,373.0,1832.5,221,285.0,0.29468189,AMZN,2019-09-11,91.15,91.67,90.45,90.61,48654000.0,1822.99,1833.42,1809.08,1812.14
252.0,AMZN,2019-09-18,2019-09-20,3731.0,1256.0,1820.0,878,934.0,0.482995922,AMZN,2019-09-18,90.87,91.1,89.78,90.85,50720000.0,1817.46,1822.06,1795.5,1817.04
129.0,AMZN,2019-09-25,2019-09-27,383.0,281.0,1772.5,206,147.0,0.470525607,AMZN,2019-09-25,88.42,88.65,86.15,87.37,70620000.0,1768.33,1773.0,1723.0,1747.36
