ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
GOOG,2019-01-02,2019-01-04,81.0,94.0,1047.5,258.0,2.0,0.397248044,GOOG,2019-01-02,52.29,52.62,50.78,50.83,30652000.0,1045.85,1052.32,1015.71,1016.57
GOOG,2019-01-09,2019-01-11,43.0,59.0,1082.5,7.0,3.0,0.36919377,GOOG,2019-01-09,53.73,54.13,53.32,54.08,23984000.0,1074.66,1082.63,1066.4,1081.65
GOOG,2019-01-16,2019-01-18,432.0,611.0,1090.0,195.0,244.0,0.354055454,GOOG,2019-01-16,54.05,54.62,53.97,54.0,26636000.0,1080.97,1092.38,1079.34,1080.0
GOOG,2019-01-23,2019-01-25,17.0,72.0,1082.5,37.0,21.0,0.363076222,GOOG,2019-01-23,53.78,54.25,52.99,53.87,19338000.0,1075.57,1084.93,1059.75,1077.35
GOOG,2019-01-30,2019-02-01,38.0,36.0,1082.5,38.0,2.0,0.588109329,GOOG,2019-01-30,54.45,54.55,53.34,53.42,25596000.0,1089.06,1091.0,1066.85,1068.43
GOOG,2019-02-06,2019-02-08,108.0,94.0,1122.5,96.0,144.0,0.415650904,GOOG,2019-02-06,55.76,57.35,55.64,56.98,42110000.0,1115.23,1147.0,1112.77,1139.57
GOOG,2019-02-13,2019-02-15,289.0,108.0,1132.5,28.0,14.0,0.301702379,GOOG,2019-02-13,56.01,56.74,55.92,56.25,20994000.0,1120.16,1134.73,1118.5,1124.99
GOOG,2019-02-20,2019-02-22,137.0,99.0,1122.5,25.0,72.0,0.335689284,GOOG,2019-02-20,55.69,56.17,55.26,56.0,21756000.0,1113.8,1123.41,1105.28,1119.99
GOOG,2019-02-27,2019-03-01,146.0,153.0,1115.0,64.0,62.0,0.489720473,GOOG,2019-02-27,55.8,55.9,55.05,55.35,19374000.0,1116.05,1117.98,1101.0,1106.95
GOOG,2019-03-06,2019-03-08,176.0,40.0,1167.5,16.0,12.0,0.296302235,GOOG,2019-03-06,57.89,58.38,57.78,58.12,21984000.0,1157.86,1167.57,1155.49,1162.49
GOOG,2019-03-13,2019-03-15,2083.0,3262.0,1200.0,375.0,609.0,0.457322918,GOOG,2019-03-13,59.67,60.05,59.6,60.03,28718000.0,1193.32,1200.93,1191.94,1200.65
GOOG,2019-03-20,2019-03-22,377.0,969.0,1225.0,4.0,51.0,0.448514556,GOOG,2019-03-20,61.2,61.36,59.81,59.87,44554000.0,1223.97,1227.14,1196.17,1197.35
GOOG,2019-03-27,2019-03-29,372.0,75.0,1175.0,827.0,174.0,0.500755587,GOOG,2019-03-27,58.65,59.38,57.97,59.28,28004002.0,1173.02,1187.56,1159.37,1185.5
GOOG,2019-04-03,2019-04-05,61.0,63.0,1212.5,5.0,81.0,0.343640638,GOOG,2019-04-03,60.3,60.82,60.02,60.37,20356000.0,1205.92,1216.3,1200.5,1207.48
GOOG,2019-04-10,2019-04-12,157.0,94.0,1202.5,138.0,23.0,0.520823144,GOOG,2019-04-10,60.11,60.19,59.82,60.03,14492000.0,1202.16,1203.79,1196.44,1200.68
GOOG,2019-04-17,2019-04-18,581.0,370.0,1240.0,74.0,196.0,0.346624899,GOOG,2019-04-17,61.82,62.03,61.39,61.65,24438000.0,1236.34,1240.56,1227.82,1233.0
GOOG,2019-04-24,2019-04-26,109.0,961.0,1255.0,94.0,108.0,0.578203027,GOOG,2019-04-24,62.8,63.4,62.75,63.21,20374000.0,1256.0,1268.01,1255.0,1264.12
GOOG,2019-05-01,2019-05-03,589.0,320.0,1180.0,517.0,292.0,0.299167325,GOOG,2019-05-01,58.4,59.4,58.36,59.4,52858000.0,1168.08,1188.05,1167.18,1188.05
GOOG,2019-05-08,2019-05-10,321.0,864.0,1180.0,285.0,44.0,0.351611744,GOOG,2019-05-08,58.31,59.02,58.29,58.6,26190000.0,1166.27,1180.42,1165.74,1172.01
GOOG,2019-05-15,2019-05-17,433.0,945.0,1170.0,262.0,123.0,0.413656192,GOOG,2019-05-15,58.21,58.57,55.83,55.89,45786000.0,1164.21,1171.33,1116.67,1117.87
GOOG,2019-05-22,2019-05-24,152.0,97.0,1152.5,80.0,81.0,0.536979115,GOOG,2019-05-22,57.57,57.93,57.29,57.34,18296000.0,1151.42,1158.52,1145.89,1146.75
GOOG,2019-05-29,2019-05-31,94.0,21.0,1127.5,64.0,19.0,0.321370475,GOOG,2019-05-29,55.82,56.46,55.41,56.38,30764000.0,1116.46,1129.1,1108.22,1127.52
GOOG,2019-06-05,2019-06-07,388.0,99.0,1045.0,64.0,156.0,0.412052681,GOOG,2019-06-05,52.11,52.68,51.52,52.58,43368000.0,1042.22,1053.55,1030.49,1051.54
GOOG,2019-06-12,2019-06-14,76.0,62.0,1077.5,63.0,140.0,0.471024387,GOOG,2019-06-12,53.85,54.05,53.38,53.9,21224000.0,1077.03,1080.93,1067.54,1078.0
GOOG,2019-06-19,2019-06-21,26.0,82.0,1102.5,72.0,15.0,0.500616066,GOOG,2019-06-19,55.12,55.35,54.67,55.28,26784000.0,1102.33,1107.0,1093.48,1105.6
GOOG,2019-06-26,2019-06-28,97.0,41.0,1087.5,88.0,40.0,0.30775089,GOOG,2019-06-26,53.99,54.65,53.61,54.32,36216000.0,1079.8,1092.97,1072.24,1086.5
GOOG,2019-07-03,2019-07-05,437.0,739.0,1115.0,34.0,498.0,0.68639995,GOOG,2019-07-03,56.08,56.34,55.69,55.87,15340000.0,1121.58,1126.76,1113.86,1117.41
GOOG,2019-07-10,2019-07-12,267.0,96.0,1137.5,22.0,548.0,0.52605186,GOOG,2019-07-10,57.02,57.1,56.55,56.56,24188000.0,1140.48,1142.05,1130.97,1131.22
GOOG,2019-07-17,2019-07-19,712.0,928.0,1150.0,757.0,150.0,0.454183331,GOOG,2019-07-17,57.32,57.92,57.29,57.55,23400000.0,1146.35,1158.36,1145.77,1150.97
GOOG,2019-07-24,2019-07-26,74.0,50.0,1142.5,92.0,17.0,0.478552205,GOOG,2019-07-24,56.89,57.2,56.35,56.6,31802000.0,1137.81,1144.0,1126.99,1131.9
GOOG,2019-07-31,2019-08-02,125.0,87.0,1232.5,31.0,26.0,0.327601883,GOOG,2019-07-31,60.83,61.7,60.39,61.15,34508000.0,1216.68,1234.0,1207.76,1223.0
GOOG,2019-08-07,2019-08-09,60.0,78.0,1177.5,20.0,31.0,0.484628231,GOOG,2019-08-07,58.7,58.92,57.48,57.8,28886002.0,1173.99,1178.44,1149.62,1156.0
GOOG,2019-08-14,2019-08-16,1171.0,491.0,1180.0,1394.0,225.0,0.305677819,GOOG,2019-08-14,58.21,59.12,58.03,58.82,31572000.0,1164.29,1182.3,1160.54,1176.31
GOOG,2019-08-21,2019-08-23,157.0,302.0,1197.5,67.0,104.0,0.374222758,GOOG,2019-08-21,59.56,59.95,59.37,59.66,14820000.0,1191.25,1199.0,1187.43,1193.15
GOOG,2019-08-28,2019-08-30,202.0,904.0,1175.0,130.0,73.0,0.440874838,GOOG,2019-08-28,58.55,58.82,57.86,58.09,16043999.0,1171.02,1176.42,1157.3,1161.71
GOOG,2019-09-04,2019-09-06,53.0,60.0,1182.5,94.0,13.0,0.513828541,GOOG,2019-09-04,59.07,59.17,58.55,58.84,21378000.0,1181.41,1183.48,1171.0,1176.71
GOOG,2019-09-11,2019-09-13,180.0,105.0,1222.5,7.0,167.0,0.354468081,GOOG,2019-09-11,61.01,61.13,60.11,60.17,26140000.0,1220.17,1222.6,1202.2,1203.41
GOOG,2019-09-18,2019-09-20,301.0,456.0,1230.0,377.0,295.0,0.630110927,GOOG,2019-09-18,61.62,61.78,60.83,61.38,22886000.0,1232.41,1235.61,1216.53,1227.51
GOOG,2019-09-25,2019-09-27,136.0,217.0,1247.5,6.0,237.0,0.489999869,GOOG,2019-09-25,62.33,62.42,60.5,60.79,31876000.0,1246.52,1248.3,1210.09,1215.82
