index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
40.0,META,2019-01-02,2019-01-04,3938.0,2586.0,137.0,762.0,1492.0,0.367648293,META,2019-01-02,135.68,137.51,128.56,128.99,28146100.0,135.68,137.51,128.56,128.99
39.0,META,2019-01-09,2019-01-11,5802.0,4252.0,143.0,523.0,4508.0,0.60294888,META,2019-01-09,144.23,144.7,141.27,142.95,22205800.0,144.23,144.7,141.27,142.95
55.0,META,2019-01-16,2019-01-18,4612.0,483.0,148.0,1548.0,4029.0,0.482537431,META,2019-01-16,147.54,149.65,147.0,149.0,18025700.0,147.54,149.65,147.0,149.0
36.0,META,2019-01-23,2019-01-25,7350.0,4131.0,148.0,3544.0,1140.0,0.177090414,META,2019-01-23,144.3,148.8,143.06,148.28,20098400.0,144.3,148.8,143.06,148.28
38.0,META,2019-01-30,2019-02-01,11608.0,6553.0,150.0,2029.0,3766.0,0.527627519,META,2019-01-30,150.42,150.95,145.7,146.22,44613200.0,150.42,150.95,145.7,146.22
46.0,META,2019-02-06,2019-02-08,14341.0,10352.0,170.0,4615.0,8009.0,0.571282939,META,2019-02-06,170.49,172.47,169.27,171.2,13281100.0,170.49,172.47,169.27,171.2
54.0,META,2019-02-13,2019-02-15,9883.0,10821.0,165.0,11585.0,10436.0,0.455934864,META,2019-02-13,164.07,166.22,163.73,165.38,14205100.0,164.07,166.22,163.73,165.38
38.0,META,2019-02-20,2019-02-22,9719.0,5176.0,162.5,3922.0,10615.0,0.544486286,META,2019-02-20,162.56,163.72,161.25,162.25,11770600.0,162.56,163.72,161.25,162.25
31.0,META,2019-02-27,2019-03-01,15970.0,3277.0,162.5,4657.0,7100.0,0.523308432,META,2019-02-27,162.81,163.93,160.41,162.9,12697400.0,162.81,163.93,160.41,162.9
35.0,META,2019-03-06,2019-03-08,21940.0,7197.0,172.5,907.0,8569.0,0.48000851,META,2019-03-06,172.51,173.57,171.27,172.9,21531700.0,172.51,173.57,171.27,172.9
53.0,META,2019-03-13,2019-03-15,10702.0,8190.0,172.5,4017.0,6250.0,0.668891622,META,2019-03-13,173.37,174.03,172.12,172.32,11973200.0,173.37,174.03,172.12,172.32
28.0,META,2019-03-20,2019-03-22,26879.0,10731.0,165.0,3584.0,7024.0,0.564545014,META,2019-03-20,165.44,166.12,161.24,161.5,20211400.0,165.44,166.12,161.24,161.5
24.0,META,2019-03-27,2019-03-29,13643.0,8349.0,167.5,1686.0,6156.0,0.384910965,META,2019-03-27,165.87,168.94,164.79,167.85,10620200.0,165.87,168.94,164.79,167.85
29.0,META,2019-04-03,2019-04-05,27553.0,6483.0,177.5,320.0,4292.0,0.12996944,META,2019-04-03,173.54,177.96,172.95,174.5,27590000.0,173.54,177.96,172.95,174.5
29.0,META,2019-04-10,2019-04-12,20966.0,7615.0,177.5,3030.0,10004.0,0.553445924,META,2019-04-10,177.82,178.79,176.54,178.18,11701400.0,177.82,178.79,176.54,178.18
30.0,META,2019-04-17,2019-04-18,32068.0,33753.0,180.0,6046.0,8649.0,0.279532665,META,2019-04-17,178.78,180.74,178.36,179.6,9973700.0,178.78,180.74,178.36,179.6
25.0,META,2019-04-24,2019-04-26,7368.0,8246.0,182.5,2109.0,7331.0,0.531562763,META,2019-04-24,182.58,185.14,181.65,184.49,37289800.0,182.58,185.14,181.65,184.49
30.0,META,2019-05-01,2019-05-03,17849.0,12916.0,195.0,3694.0,9863.0,0.371750598,META,2019-05-01,193.03,196.18,193.01,194.78,15996600.0,193.03,196.18,193.01,194.78
24.0,META,2019-05-08,2019-05-10,10070.0,7221.0,190.0,4888.0,4293.0,0.520504823,META,2019-05-08,189.54,190.72,188.55,189.39,12505700.0,189.54,190.72,188.55,189.39
30.0,META,2019-05-15,2019-05-17,19583.0,10711.0,185.0,3971.0,17546.0,0.683617846,META,2019-05-15,186.27,187.28,180.02,180.42,16746900.0,186.27,187.28,180.02,180.42
22.0,META,2019-05-22,2019-05-24,15823.0,5520.0,185.0,4177.0,9510.0,0.614470629,META,2019-05-22,185.32,186.74,183.61,184.73,9213800.0,185.32,186.74,183.61,184.73
21.0,META,2019-05-29,2019-05-31,9730.0,3468.0,182.5,3626.0,9772.0,0.503576323,META,2019-05-29,182.19,184.56,181.35,183.5,12797600.0,182.19,184.56,181.35,183.5
16.0,META,2019-06-05,2019-06-07,10343.0,3015.0,167.5,3142.0,6288.0,0.521508578,META,2019-06-05,168.17,168.72,164.63,167.48,19758300.0,168.17,168.72,164.63,167.48
23.0,META,2019-06-12,2019-06-14,18063.0,9217.0,175.0,4934.0,11749.0,0.431304444,META,2019-06-12,175.04,179.27,172.88,178.38,17699800.0,175.04,179.27,172.88,178.38
32.0,META,2019-06-19,2019-06-21,27724.0,5929.0,187.5,6450.0,7339.0,0.53309704,META,2019-06-19,187.48,188.1,184.55,187.0,21417000.0,187.48,188.1,184.55,187.0
18.0,META,2019-06-26,2019-06-28,14349.0,8753.0,190.0,3989.0,7150.0,0.29766886,META,2019-06-26,187.66,190.76,187.31,189.54,12808600.0,187.66,190.76,187.31,189.54
29.0,META,2019-07-03,2019-07-05,10794.0,10381.0,195.0,2916.0,10178.0,0.746784555,META,2019-07-03,197.2,197.4,194.16,194.16,10246100.0,197.2,197.4,194.16,194.16
32.0,META,2019-07-10,2019-07-12,27899.0,4042.0,202.5,138.0,9598.0,0.495410196,META,2019-07-10,202.73,202.96,199.67,200.0,20571700.0,202.73,202.96,199.67,200.0
29.0,META,2019-07-17,2019-07-19,9292.0,7572.0,202.5,4468.0,8354.0,0.49257223,META,2019-07-17,201.8,204.36,201.59,204.18,12083700.0,201.8,204.36,201.59,204.18
31.0,META,2019-07-24,2019-07-26,8172.0,6950.0,202.5,1440.0,3106.0,0.565378782,META,2019-07-24,204.66,204.81,197.22,197.63,32532500.0,204.66,204.81,197.22,197.63
28.0,META,2019-07-31,2019-08-02,13475.0,5758.0,197.5,3137.0,5150.0,0.304030519,META,2019-07-31,194.23,198.76,192.68,196.95,14593500.0,194.23,198.76,192.68,196.95
35.0,META,2019-08-07,2019-08-09,8977.0,4633.0,185.0,2796.0,4797.0,0.559659284,META,2019-08-07,185.15,186.37,181.22,183.6,15833100.0,185.15,186.37,181.22,183.6
42.0,META,2019-08-14,2019-08-16,16038.0,5857.0,185.0,11011.0,6343.0,0.17407906,META,2019-08-14,179.71,185.99,179.31,185.8,18903700.0,179.71,185.99,179.31,185.8
