index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
41.0,MSFT,2019-01-02,2019-01-04,3634.0,2374.0,101.0,1371.0,2439.0,0.464913243,MSFT,2019-01-02,96.87,97.48,94.79,95.37,36877521.0,101.12,101.75,98.94,99.55
63.0,MSFT,2019-01-09,2019-01-11,3333.0,3073.0,104.0,1331.0,3599.0,0.535181906,MSFT,2019-01-09,99.89,100.48,98.91,99.5,33695411.0,104.27,104.88,103.24,103.86
64.0,MSFT,2019-01-16,2019-01-18,4889.0,4948.0,106.0,5506.0,3103.0,0.392179272,MSFT,2019-01-16,100.96,101.79,100.55,100.84,31162055.0,105.38,106.26,104.96,105.26
72.0,MSFT,2019-01-23,2019-01-25,81.0,924.0,102.0,6150.0,4794.0,0.974309369,MSFT,2019-01-23,102.23,102.55,100.92,101.66,27008076.0,106.71,107.04,105.34,106.12
65.0,MSFT,2019-01-30,2019-02-01,8196.0,13286.0,106.0,7471.0,2550.0,0.517195953,MSFT,2019-01-30,101.91,101.91,99.95,100.23,51639766.0,106.38,106.38,104.33,104.62
58.0,MSFT,2019-02-06,2019-02-08,5159.0,6439.0,107.0,851.0,1461.0,0.313247355,MSFT,2019-02-06,101.58,102.51,101.1,102.51,21512863.0,106.03,107.0,105.53,107.0
53.0,MSFT,2019-02-13,2019-02-15,724.0,2369.0,103.0,3584.0,171.0,0.959187114,MSFT,2019-02-13,102.33,103.26,102.23,102.99,19200911.0,106.81,107.78,106.71,107.5
53.0,MSFT,2019-02-20,2019-02-22,5.0,94.0,103.0,614.0,644.0,0.958471435,MSFT,2019-02-20,103.09,103.85,102.26,103.77,22458595.0,107.15,107.94,106.29,107.86
61.0,MSFT,2019-02-27,2019-03-01,1748.0,3023.0,111.0,3039.0,3812.0,0.704087928,MSFT,2019-02-27,107.92,108.1,106.68,107.46,22333241.0,112.17,112.36,110.88,111.69
62.0,MSFT,2019-03-06,2019-03-08,4015.0,4638.0,112.0,3067.0,2073.0,0.449374809,MSFT,2019-03-06,107.52,108.39,107.21,107.63,18383481.0,111.75,112.66,111.43,111.87
70.0,MSFT,2019-03-13,2019-03-15,9151.0,24420.0,115.0,2096.0,2516.0,0.385046863,MSFT,2019-03-13,110.16,110.64,109.47,109.8,36912338.0,114.5,115.0,113.78,114.13
31.0,MSFT,2019-03-20,2019-03-22,5649.0,3757.0,118.0,931.0,2731.0,0.505207071,MSFT,2019-03-20,113.07,114.25,112.29,112.94,29220504.0,117.52,118.75,116.71,117.39
67.0,MSFT,2019-03-27,2019-03-29,7422.0,4458.0,118.0,1585.0,1054.0,0.309390006,MSFT,2019-03-27,112.35,113.73,111.14,113.41,23628728.0,116.77,118.21,115.52,117.88
32.0,MSFT,2019-04-03,2019-04-05,10489.0,6141.0,120.0,704.0,2018.0,0.422777341,MSFT,2019-04-03,115.42,115.87,114.64,115.32,23761031.0,119.97,120.43,119.15,119.86
27.0,MSFT,2019-04-10,2019-04-12,3442.0,4923.0,120.0,2007.0,3354.0,0.549714956,MSFT,2019-04-10,115.64,115.79,115.01,115.22,17126034.0,120.19,120.35,119.54,119.76
32.0,MSFT,2019-04-17,2019-04-18,7408.0,6365.0,121.0,2121.0,4311.0,0.697351585,MSFT,2019-04-17,117.16,117.23,115.97,116.65,20061034.0,121.77,121.85,120.54,121.24
31.0,MSFT,2019-04-24,2019-04-26,8796.0,7073.0,125.0,1211.0,5138.0,0.53326536,MSFT,2019-04-24,120.27,121.08,119.8,121.02,32487910.0,125.01,125.85,124.52,125.79
59.0,MSFT,2019-05-01,2019-05-03,10938.0,9757.0,130.0,3228.0,2225.0,0.213283717,MSFT,2019-05-01,123.03,125.7,122.86,125.58,27877921.0,127.88,130.65,127.7,130.53
66.0,MSFT,2019-05-08,2019-05-10,3344.0,3774.0,126.0,2774.0,1609.0,0.510577489,MSFT,2019-05-08,120.75,121.58,120.02,120.69,29538129.0,125.51,126.37,124.75,125.44
29.0,MSFT,2019-05-15,2019-05-17,6454.0,9524.0,125.0,5779.0,3589.0,0.663059413,MSFT,2019-05-15,121.69,122.36,119.45,119.99,25601608.0,126.02,126.71,123.7,124.26
58.0,MSFT,2019-05-22,2019-05-24,4261.0,4366.0,128.0,1511.0,1310.0,0.518761638,MSFT,2019-05-22,123.29,123.84,122.18,122.27,15943747.0,127.67,128.24,126.52,126.62
22.0,MSFT,2019-05-29,2019-05-31,8863.0,1795.0,125.0,3669.0,2187.0,0.511521793,MSFT,2019-05-29,120.65,121.08,119.78,121.08,23572340.0,124.94,125.39,124.04,125.38
21.0,MSFT,2019-06-05,2019-06-07,6320.0,5510.0,125.0,1788.0,4063.0,0.586893585,MSFT,2019-06-05,121.51,121.55,119.95,120.66,25812226.0,125.83,125.87,124.21,124.95
29.0,MSFT,2019-06-12,2019-06-14,3258.0,1654.0,131.0,2142.0,6246.0,0.566613351,MSFT,2019-06-12,126.98,127.44,126.22,126.89,17700036.0,131.49,131.97,130.71,131.4
42.0,MSFT,2019-06-19,2019-06-21,8486.0,24811.0,135.0,5243.0,5032.0,0.652498999,MSFT,2019-06-19,131.03,131.26,129.22,130.36,24588518.0,135.69,135.93,133.81,135.0
27.0,MSFT,2019-06-26,2019-06-28,8867.0,3206.0,135.0,2288.0,3896.0,0.350211933,MSFT,2019-06-26,129.33,131.08,129.01,129.74,24498737.0,133.93,135.74,133.6,134.35
30.0,MSFT,2019-07-03,2019-07-05,3057.0,3623.0,137.0,1091.0,4172.0,0.604705304,MSFT,2019-07-03,132.74,133.01,131.62,132.1,14113725.0,137.46,137.74,136.29,136.8
31.0,MSFT,2019-07-10,2019-07-12,17678.0,4914.0,138.0,746.0,5016.0,0.40335818,MSFT,2019-07-10,133.12,133.82,132.32,132.42,25064776.0,137.85,138.58,137.02,137.13
25.0,MSFT,2019-07-17,2019-07-19,100.0,940.0,133.0,3391.0,533.0,0.758031795,MSFT,2019-07-17,131.59,133.2,131.54,132.97,20929398.0,136.27,137.93,136.22,137.7
27.0,MSFT,2019-07-24,2019-07-26,404.0,4141.0,135.0,4421.0,313.0,0.965393921,MSFT,2019-07-24,135.89,135.91,134.08,134.13,21475449.0,140.72,140.74,138.85,138.9
36.0,MSFT,2019-07-31,2019-08-02,13434.0,6390.0,140.0,3706.0,2228.0,0.141063416,MSFT,2019-07-31,131.59,135.67,130.44,135.51,39970887.0,136.27,140.49,135.08,140.33
26.0,MSFT,2019-08-07,2019-08-09,446.0,937.0,130.0,4317.0,2130.0,0.904727215,MSFT,2019-08-07,130.64,130.99,127.3,129.2,34602407.0,135.28,135.65,131.83,133.79
28.0,MSFT,2019-08-14,2019-08-16,7714.0,2966.0,136.0,3552.0,3929.0,0.306791121,MSFT,2019-08-14,129.81,132.66,129.51,132.12,33571762.0,133.98,136.92,133.67,136.36
44.0,MSFT,2019-08-21,2019-08-23,5479.0,11059.0,139.0,880.0,3045.0,0.464339783,MSFT,2019-08-21,134.47,135.15,133.71,134.24,15463437.0,138.79,139.49,138.0,138.55
22.0,MSFT,2019-08-28,2019-08-30,1783.0,610.0,130.0,8034.0,1121.0,0.91928723,MSFT,2019-08-28,131.34,131.54,129.4,130.68,17969928.0,135.56,135.76,133.55,134.88
21.0,MSFT,2019-09-04,2019-09-06,273.0,526.0,133.0,1884.0,584.0,0.958654709,MSFT,2019-09-04,133.35,133.41,132.23,133.03,18593839.0,137.63,137.69,136.48,137.3
23.0,MSFT,2019-09-11,2019-09-13,8413.0,8904.0,136.0,2954.0,2807.0,0.458856954,MSFT,2019-09-11,131.88,132.03,130.89,131.68,25520144.0,136.12,136.27,135.09,135.91
34.0,MSFT,2019-09-18,2019-09-20,9854.0,8177.0,138.0,3968.0,4236.0,0.611034863,MSFT,2019-09-18,134.21,134.35,132.28,133.09,25259214.0,138.52,138.67,136.53,137.36
28.0,MSFT,2019-09-25,2019-09-27,9141.0,5421.0,139.0,2600.0,1810.0,0.611835273,MSFT,2019-09-25,135.02,135.6,131.8,133.22,23267969.0,139.36,139.96,136.03,137.5
18.0,MSFT,2019-10-02,2019-10-04,9533.0,689.0,136.0,2530.0,2911.0,0.366643327,MSFT,2019-10-02,130.46,132.13,129.42,132.01,33029376.0,134.65,136.37,133.58,136.25
20.0,MSFT,2019-10-09,2019-10-11,92.0,662.0,133.0,5143.0,1027.0,0.93186234,MSFT,2019-10-09,133.94,134.38,132.71,133.18,20826392.0,138.24,138.7,136.97,137.46
33.0,MSFT,2019-10-16,2019-10-18,14806.0,50612.0,140.0,26746.0,13348.0,0.550456115,MSFT,2019-10-16,136.04,136.6,135.19,136.41,21510886.0,140.41,140.99,139.53,140.79
22.0,MSFT,2019-10-23,2019-10-25,12410.0,4547.0,137.0,6729.0,2458.0,0.522281128,MSFT,2019-10-23,132.97,133.17,131.39,132.62,32388028.0,137.24,137.45,135.61,136.88
41.0,MSFT,2019-10-30,2019-11-01,11635.0,9861.0,145.0,2271.0,1263.0,0.441906978,MSFT,2019-10-30,140.11,140.49,138.35,139.05,19090482.0,144.61,145.0,142.79,143.52
44.0,MSFT,2019-11-06,2019-11-08,3811.0,9276.0,144.0,4099.0,3207.0,0.495544366,MSFT,2019-11-06,139.58,140.02,138.74,139.88,17108000.0,144.06,144.52,143.2,144.37
50.0,MSFT,2019-11-13,2019-11-15,8234.0,7718.0,147.0,2617.0,2376.0,0.560271993,MSFT,2019-11-13,142.73,142.87,141.73,142.17,18000260.0,147.31,147.46,146.28,146.74
49.0,MSFT,2019-11-20,2019-11-22,3807.0,3903.0,149.0,7674.0,5227.0,0.598867553,MSFT,2019-11-20,145.46,146.64,144.33,146.13,26455928.0,149.62,150.84,148.46,150.31
55.0,MSFT,2019-11-27,2019-11-29,9480.0,8265.0,152.5,2792.0,4125.0,0.321986173,MSFT,2019-11-27,148.08,148.26,147.3,148.09,15636163.0,152.32,152.5,151.52,152.33
31.0,MSFT,2019-12-04,2019-12-06,6945.0,11273.0,150.0,4622.0,1293.0,0.469588673,MSFT,2019-12-04,145.68,146.0,145.05,145.96,18083636.0,149.85,150.18,149.2,150.14
21.0,MSFT,2019-12-11,2019-12-13,250.0,1423.0,147.0,1790.0,403.0,0.926343371,MSFT,2019-12-11,147.48,147.65,146.15,147.32,19399646.0,151.7,151.87,150.33,151.54
36.0,MSFT,2019-12-18,2019-12-20,9855.0,24301.0,155.0,5767.0,3607.0,0.407245914,MSFT,2019-12-18,150.08,151.16,149.89,150.01,24822808.0,154.37,155.48,154.18,154.3
