index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
34.0,NFLX,2019-01-02,2019-01-04,2764.0,865.0,267.5,412.0,788.0,0.493769349,NFLX,2019-01-02,267.66,269.75,256.58,259.28,11679500.0,267.66,269.75,256.58,259.28
56.0,NFLX,2019-01-09,2019-01-11,2346.0,528.0,322.5,32.0,350.0,0.43579247,NFLX,2019-01-09,319.96,323.35,313.5,317.71,13343100.0,319.96,323.35,313.5,317.71
88.0,NFLX,2019-01-16,2019-01-18,818.0,658.0,357.5,80.0,744.0,0.446008109,NFLX,2019-01-16,351.39,358.85,348.11,354.0,15385500.0,351.39,358.85,348.11,354.0
61.0,NFLX,2019-01-23,2019-01-25,2307.0,600.0,327.5,708.0,1336.0,0.31130965,NFLX,2019-01-23,321.99,331.75,318.6,328.25,13480100.0,321.99,331.75,318.6,328.25
67.0,NFLX,2019-01-30,2019-02-01,14046.0,3592.0,340.0,740.0,2172.0,0.519698044,NFLX,2019-01-30,340.66,341.78,330.8,332.75,9234500.0,340.66,341.78,330.8,332.75
72.0,NFLX,2019-02-06,2019-02-08,5540.0,2659.0,355.0,952.0,1966.0,0.418378182,NFLX,2019-02-06,352.19,357.04,347.19,357.0,6717600.0,352.19,357.04,347.19,357.0
59.0,NFLX,2019-02-13,2019-02-15,4765.0,1329.0,357.5,845.0,2332.0,0.270447528,NFLX,2019-02-13,351.77,359.6,350.28,357.3,10559100.0,351.77,359.6,350.28,357.3
71.0,NFLX,2019-02-20,2019-02-22,1070.0,936.0,357.5,653.0,1971.0,0.597468106,NFLX,2019-02-20,359.91,366.71,356.7,364.85,8110700.0,359.91,366.71,356.7,364.85
53.0,NFLX,2019-02-27,2019-03-01,3218.0,1858.0,367.5,1187.0,510.0,0.262768087,NFLX,2019-02-27,362.87,368.03,359.8,363.5,5629900.0,362.87,368.03,359.8,363.5
44.0,NFLX,2019-03-06,2019-03-08,4262.0,1242.0,357.5,800.0,1174.0,0.580473085,NFLX,2019-03-06,359.61,359.88,351.7,353.6,6211800.0,359.61,359.88,351.7,353.6
58.0,NFLX,2019-03-13,2019-03-15,12443.0,9698.0,360.0,3586.0,6319.0,0.612989853,NFLX,2019-03-13,361.21,362.48,352.76,355.81,6444000.0,361.21,362.48,352.76,355.81
44.0,NFLX,2019-03-20,2019-03-22,12651.0,4152.0,370.0,557.0,4027.0,0.682444785,NFLX,2019-03-20,375.22,375.9,357.01,358.91,10917100.0,375.22,375.9,357.01,358.91
33.0,NFLX,2019-03-27,2019-03-29,8295.0,1539.0,360.0,2189.0,4265.0,0.280856451,NFLX,2019-03-27,353.37,362.47,350.37,361.0,7852300.0,353.37,362.47,350.37,361.0
37.0,NFLX,2019-04-03,2019-04-05,12075.0,3601.0,370.0,971.0,3016.0,0.472788934,NFLX,2019-04-03,369.75,373.41,366.19,369.26,5376600.0,369.75,373.41,366.19,369.26
36.0,NFLX,2019-04-10,2019-04-12,3593.0,2807.0,367.5,616.0,1269.0,0.362965308,NFLX,2019-04-10,363.92,368.85,362.25,365.79,4545500.0,363.92,368.85,362.25,365.79
55.0,NFLX,2019-04-17,2019-04-18,4784.0,2158.0,367.5,788.0,575.0,0.036705619,NFLX,2019-04-17,354.74,368.76,350.6,365.05,18054100.0,354.74,368.76,350.6,365.05
49.0,NFLX,2019-04-24,2019-04-26,8036.0,3273.0,380.0,1187.0,4223.0,0.302846571,NFLX,2019-04-24,374.23,381.9,373.27,381.07,6541800.0,374.23,381.9,373.27,381.07
44.0,NFLX,2019-05-01,2019-05-03,8047.0,5081.0,380.0,759.0,9983.0,0.550204795,NFLX,2019-05-01,378.81,385.99,373.18,374.0,9257200.0,378.81,385.99,373.17,374.0
35.0,NFLX,2019-05-08,2019-05-10,3323.0,411.0,367.5,1616.0,1910.0,0.422979632,NFLX,2019-05-08,364.37,369.0,361.36,367.92,6571900.0,364.37,369.0,361.36,367.92
47.0,NFLX,2019-05-15,2019-05-17,5066.0,809.0,347.5,906.0,2444.0,0.803923799,NFLX,2019-05-15,354.99,356.5,341.39,343.34,6340100.0,354.99,356.5,341.39,343.34
41.0,NFLX,2019-05-22,2019-05-24,7816.0,1869.0,370.0,950.0,291.0,0.169911398,NFLX,2019-05-22,359.73,370.46,357.3,358.01,6229300.0,359.73,370.46,357.3,358.01
32.0,NFLX,2019-05-29,2019-05-31,4314.0,703.0,352.5,572.0,2350.0,0.368214723,NFLX,2019-05-29,349.19,353.85,345.9,353.6,5658900.0,349.19,353.85,345.9,353.6
35.0,NFLX,2019-06-05,2019-06-07,8589.0,1640.0,355.0,723.0,2205.0,0.501751977,NFLX,2019-06-05,355.73,357.88,348.71,354.38,5020000.0,355.73,357.88,348.71,354.38
34.0,NFLX,2019-06-12,2019-06-14,3659.0,860.0,352.5,730.0,922.0,0.217599402,NFLX,2019-06-12,345.56,353.61,343.23,351.82,4584700.0,345.56,353.61,343.23,351.82
68.0,NFLX,2019-06-19,2019-06-21,5285.0,1479.0,362.5,543.0,2437.0,0.553073338,NFLX,2019-06-19,363.52,364.74,356.12,361.72,5667100.0,363.52,364.74,356.12,361.72
40.0,NFLX,2019-06-26,2019-06-28,3858.0,1482.0,365.0,1714.0,4151.0,0.424006065,NFLX,2019-06-26,362.2,366.79,361.6,361.6,3669600.0,362.2,366.79,361.6,361.6
42.0,NFLX,2019-07-03,2019-07-05,7692.0,4396.0,380.0,446.0,3330.0,0.51844525,NFLX,2019-07-03,381.72,381.99,375.84,376.69,3799000.0,381.72,381.99,375.84,376.69
43.0,NFLX,2019-07-10,2019-07-12,7317.0,1881.0,382.5,898.0,2496.0,0.417303283,NFLX,2019-07-10,381.0,384.34,377.4,382.77,5878700.0,381.0,384.34,377.4,382.77
40.0,NFLX,2019-07-17,2019-07-19,5406.0,2834.0,365.0,1927.0,2789.0,0.494941994,NFLX,2019-07-17,362.44,366.5,361.75,366.25,13639500.0,362.44,366.5,361.75,366.25
29.0,NFLX,2019-07-24,2019-07-26,8989.0,1827.0,317.5,968.0,4031.0,0.603144211,NFLX,2019-07-24,317.94,319.99,307.25,310.51,11961800.0,317.94,319.99,307.25,310.51
30.0,NFLX,2019-07-31,2019-08-02,2905.0,2983.0,320.0,3892.0,4251.0,0.656165367,NFLX,2019-07-31,322.99,331.77,318.53,325.16,6259400.0,322.99,331.77,318.53,325.16
20.0,NFLX,2019-08-07,2019-08-09,5266.0,870.0,305.0,2361.0,2846.0,0.479437209,NFLX,2019-08-07,304.29,305.0,296.81,302.56,9322400.0,304.29,305.0,296.81,302.56
41.0,NFLX,2019-08-14,2019-08-16,3074.0,869.0,307.5,779.0,1931.0,0.21675062,NFLX,2019-08-14,299.11,308.41,298.0,308.01,7355700.0,299.11,308.41,298.0,308.01
26.0,NFLX,2019-08-21,2019-08-23,4483.0,955.0,302.5,938.0,1045.0,0.288512244,NFLX,2019-08-21,297.81,302.88,296.2,301.61,5689700.0,297.81,302.88,296.2,301.61
22.0,NFLX,2019-08-28,2019-08-30,2104.0,777.0,292.5,1065.0,3242.0,0.45280969,NFLX,2019-08-28,291.77,292.82,287.75,289.47,3958000.0,291.77,292.82,287.75,289.47
22.0,NFLX,2019-09-04,2019-09-06,5552.0,1170.0,290.0,2211.0,6108.0,0.608437702,NFLX,2019-09-04,291.52,292.38,286.51,291.25,4653600.0,291.52,292.38,286.51,291.25
23.0,NFLX,2019-09-11,2019-09-13,3182.0,2274.0,292.5,923.0,1096.0,0.220720848,NFLX,2019-09-11,288.27,292.65,284.61,285.7,7405900.0,288.27,292.65,284.61,285.7
36.0,NFLX,2019-09-18,2019-09-20,11539.0,5430.0,295.0,7025.0,4997.0,0.323728441,NFLX,2019-09-18,291.56,296.05,287.45,294.99,7841500.0,291.56,296.05,287.45,294.99
23.0,NFLX,2019-09-25,2019-09-27,6399.0,8355.0,265.0,2227.0,1686.0,0.543929213,NFLX,2019-09-25,264.75,266.6,253.7,255.71,11846700.0,264.75,266.6,253.7,255.71
27.0,NFLX,2019-10-02,2019-10-04,4125.0,1509.0,267.5,998.0,2451.0,0.525976046,NFLX,2019-10-02,268.03,269.35,262.19,263.61,7773200.0,268.03,269.35,262.19,263.61
24.0,NFLX,2019-10-09,2019-10-11,9222.0,2455.0,270.0,1927.0,2850.0,0.366760014,NFLX,2019-10-09,267.53,271.0,264.57,270.02,6843400.0,267.53,271.0,264.57,270.02
41.0,NFLX,2019-10-16,2019-10-18,1538.0,1751.0,287.5,509.0,812.0,0.516912937,NFLX,2019-10-16,286.28,288.17,280.74,283.12,18413300.0,286.28,288.17,280.74,283.12
28.0,NFLX,2019-10-23,2019-10-25,6718.0,1778.0,270.0,3793.0,9883.0,0.556078004,NFLX,2019-10-23,271.27,273.92,266.63,268.06,7154400.0,271.27,273.92,266.63,268.06
36.0,NFLX,2019-10-30,2019-11-01,14028.0,2553.0,290.0,360.0,10140.0,0.610216206,NFLX,2019-10-30,291.45,293.49,283.0,284.34,9345500.0,291.45,293.49,283.0,284.34
40.0,NFLX,2019-11-06,2019-11-08,4949.0,2555.0,290.0,1741.0,1336.0,0.433919646,NFLX,2019-11-06,288.59,290.56,285.84,288.19,3438200.0,288.59,290.56,285.84,288.19
42.0,NFLX,2019-11-13,2019-11-15,5859.0,4302.0,290.0,5193.0,7312.0,0.175901001,NFLX,2019-11-13,283.11,293.41,281.14,291.03,9229100.0,283.11,293.41,281.14,291.03
43.0,NFLX,2019-11-20,2019-11-22,7877.0,2868.0,305.0,486.0,3738.0,0.499330984,NFLX,2019-11-20,305.16,308.25,301.0,301.01,5115500.0,305.16,308.25,301.0,301.01
46.0,NFLX,2019-11-27,2019-11-29,11426.0,4395.0,315.0,928.0,4493.0,0.605378515,NFLX,2019-11-27,315.93,316.82,312.75,313.93,4100900.0,315.93,316.82,312.75,313.93
34.0,NFLX,2019-12-04,2019-12-06,2292.0,849.0,307.5,706.0,1415.0,0.321089386,NFLX,2019-12-04,304.32,308.43,303.27,308.43,3513500.0,304.32,308.43,303.27,308.43
28.0,NFLX,2019-12-11,2019-12-13,3847.0,821.0,297.5,825.0,3754.0,0.590591044,NFLX,2019-12-11,298.93,299.43,294.2,294.49,5607100.0,298.93,299.43,294.2,294.49
55.0,NFLX,2019-12-18,2019-12-20,15610.0,4783.0,325.0,607.0,4151.0,0.326313131,NFLX,2019-12-18,320.8,325.36,315.6,316.26,11210700.0,320.8,325.36,315.6,316.26
45.0,NFLX,2020-01-08,2020-01-10,6139.0,1356.0,342.5,33.0,329.0,0.445921092,NFLX,2020-01-08,339.26,342.7,331.05,331.49,7109100.0,339.26,342.7,331.05,331.49
62.0,NFLX,2020-01-15,2020-01-17,4301.0,1777.0,342.5,651.0,567.0,0.337344096,NFLX,2020-01-15,339.07,343.17,336.6,338.68,5158000.0,339.07,343.17,336.6,338.68
40.0,NFLX,2020-01-22,2020-01-24,12492.0,676.0,332.5,957.0,4304.0,0.260981686,NFLX,2020-01-22,326.0,336.3,323.6,332.55,21729900.0,326.0,336.3,323.6,332.55
42.0,NFLX,2020-01-29,2020-01-31,4605.0,3115.0,340.0,6546.0,10044.0,0.629661231,NFLX,2020-01-29,343.16,349.4,338.55,349.0,7649100.0,343.16,349.4,338.55,349.0
49.0,NFLX,2020-02-05,2020-02-07,2799.0,1387.0,372.5,39.0,585.0,0.406306818,NFLX,2020-02-05,369.67,375.25,362.3,375.13,6437000.0,369.67,375.25,362.3,375.13
52.0,NFLX,2020-02-12,2020-02-14,8905.0,3149.0,380.0,120.0,1201.0,0.473763258,NFLX,2020-02-12,380.01,380.62,375.88,377.18,4624700.0,380.01,380.62,375.88,377.18
92.0,NFLX,2020-02-19,2020-02-21,10200.0,3131.0,390.0,480.0,2231.0,0.322837636,NFLX,2020-02-19,386.19,392.95,384.9,388.12,4896300.0,386.19,392.95,384.9,388.12
43.0,NFLX,2020-02-26,2020-02-28,2255.0,723.0,377.5,463.0,2976.0,0.59502227,NFLX,2020-02-26,379.24,382.0,365.0,366.31,8960900.0,379.24,382.0,365.0,366.31
40.0,NFLX,2020-03-04,2020-03-06,1090.0,944.0,375.0,589.0,1351.0,0.670107171,NFLX,2020-03-04,383.79,384.01,370.51,377.77,5487300.0,383.79,384.01,370.51,377.77
32.0,NFLX,2020-03-11,2020-03-13,799.0,597.0,355.0,686.0,1739.0,0.391763311,NFLX,2020-03-11,349.92,362.98,344.79,358.92,6058700.0,349.92,362.98,344.79,358.92
65.0,NFLX,2020-03-18,2020-03-20,3125.0,2983.0,330.0,5036.0,609.0,0.230800213,NFLX,2020-03-18,315.47,331.58,300.0,302.39,12593600.0,315.47,331.58,300.0,302.39
50.0,NFLX,2020-03-25,2020-03-27,2394.0,1389.0,360.0,583.0,328.0,0.247260826,NFLX,2020-03-25,342.39,362.0,339.17,361.02,8767100.0,342.39,362.0,339.17,361.02
58.0,NFLX,2020-04-01,2020-04-03,5567.0,1561.0,380.0,523.0,253.0,0.178487991,NFLX,2020-04-01,364.08,380.23,361.02,376.05,6672400.0,364.08,380.23,361.02,376.05
