index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
33.0,NVDA,2019-01-02,2019-01-04,1678.0,901.0,138.0,374.0,519.0,0.375819637,NVDA,2019-01-02,33.81,34.37,32.28,32.43,51241895.0,136.22,138.48,130.05,130.64
41.0,NVDA,2019-01-09,2019-01-11,2254.0,1723.0,144.0,503.0,336.0,0.398749904,NVDA,2019-01-09,35.39,35.86,34.72,35.22,62170538.0,142.58,144.49,139.86,141.9
74.0,NVDA,2019-01-16,2019-01-18,8244.0,23590.0,150.0,22771.0,3857.0,0.40595428,NVDA,2019-01-16,36.94,37.8,36.89,37.47,47348862.0,148.84,152.3,148.62,150.97
39.0,NVDA,2019-01-23,2019-01-25,1595.0,500.0,149.0,876.0,3175.0,0.55654229,NVDA,2019-01-23,37.06,38.37,36.74,37.48,59528016.0,149.29,154.58,148.03,151.0
27.0,NVDA,2019-01-30,2019-02-01,3265.0,1185.0,137.0,986.0,1695.0,0.534679026,NVDA,2019-01-30,34.1,34.25,32.63,33.43,98125006.0,137.39,137.97,131.46,134.67
50.0,NVDA,2019-02-06,2019-02-08,23869.0,3766.0,155.0,528.0,5205.0,0.379511913,NVDA,2019-02-06,37.98,38.62,37.5,37.55,70752676.0,153.0,155.6,151.07,151.29
60.0,NVDA,2019-02-13,2019-02-15,8754.0,5088.0,155.0,1864.0,1534.0,0.458933646,NVDA,2019-02-13,37.95,38.68,37.68,37.82,60973532.0,152.88,155.83,151.81,152.36
56.0,NVDA,2019-02-20,2019-02-22,10797.0,5823.0,160.0,2189.0,6591.0,0.441933859,NVDA,2019-02-20,39.35,40.03,39.06,39.17,54488795.0,158.55,161.26,157.37,157.82
40.0,NVDA,2019-02-27,2019-03-01,5503.0,1436.0,157.5,3870.0,1659.0,0.338163703,NVDA,2019-02-27,38.57,39.12,38.0,38.85,50385722.0,155.41,157.59,153.11,156.52
38.0,NVDA,2019-03-06,2019-03-08,7375.0,5439.0,155.0,4278.0,2447.0,0.321448148,NVDA,2019-03-06,37.78,38.88,37.75,38.8,40601377.0,152.05,156.5,151.94,156.16
43.0,NVDA,2019-03-13,2019-03-15,9556.0,2896.0,167.5,360.0,6538.0,0.613071172,NVDA,2019-03-13,41.9,42.19,40.68,40.76,77364408.0,168.62,169.8,163.73,164.03
55.0,NVDA,2019-03-20,2019-03-22,9609.0,2858.0,177.5,763.0,1164.0,0.307614411,NVDA,2019-03-20,43.33,44.48,42.98,43.95,72358575.0,174.4,179.03,173.0,176.88
32.0,NVDA,2019-03-27,2019-03-29,6247.0,3804.0,177.5,2782.0,1981.0,0.454952316,NVDA,2019-03-27,43.85,44.67,43.16,44.2,47729504.0,176.5,179.77,173.7,177.9
35.0,NVDA,2019-04-03,2019-04-05,22710.0,5192.0,190.0,301.0,5788.0,0.38545936,NVDA,2019-04-03,46.87,47.46,45.92,45.97,79364338.0,188.62,191.0,184.8,185.0
36.0,NVDA,2019-04-10,2019-04-12,12198.0,4118.0,192.5,1129.0,3093.0,0.481440821,NVDA,2019-04-10,47.73,47.99,46.97,47.02,44751627.0,192.1,193.14,189.05,189.23
35.0,NVDA,2019-04-17,2019-04-18,16875.0,10253.0,190.0,5703.0,1819.0,0.234132338,NVDA,2019-04-17,46.54,47.32,46.31,47.11,35316623.0,187.29,190.46,186.39,189.62
37.0,NVDA,2019-04-24,2019-04-26,7158.0,4872.0,192.5,628.0,2495.0,0.480868154,NVDA,2019-04-24,47.5,47.91,46.87,47.48,32016747.0,191.17,192.81,188.64,191.09
22.0,NVDA,2019-05-01,2019-05-03,8112.0,2480.0,182.5,1961.0,4751.0,0.425340492,NVDA,2019-05-01,44.84,45.92,44.84,45.5,35646615.0,180.47,184.81,180.46,183.11
15.0,NVDA,2019-05-08,2019-05-10,2069.0,3186.0,172.5,2992.0,3066.0,0.650389578,NVDA,2019-05-08,43.21,44.02,42.62,42.74,42175096.0,173.92,177.15,171.52,172.0
