index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
51.0,QQQ,2019-01-02,2019-01-04,5762.0,6033.0,154.0,6068.0,7480.0,0.548053708,QQQ,2019-01-02,150.68,151.53,146.79,146.9,60209067.0,154.88,155.75,150.88,150.99
74.0,QQQ,2019-01-09,2019-01-11,4825.0,1891.0,161.5,756.0,2291.0,0.40867271,QQQ,2019-01-09,156.46,157.14,155.15,155.81,47787388.0,160.82,161.52,159.47,160.15
113.0,QQQ,2019-01-16,2019-01-18,9822.0,7776.0,163.5,96.0,1230.0,0.358809409,QQQ,2019-01-16,157.95,159.34,157.89,158.22,34754419.0,162.35,163.78,162.29,162.63
59.0,QQQ,2019-01-23,2019-01-25,9763.0,4759.0,163.0,5024.0,10906.0,0.369608097,QQQ,2019-01-23,157.75,159.08,155.97,158.36,39167992.0,162.15,163.51,160.32,162.77
65.0,QQQ,2019-01-30,2019-02-01,9939.0,13377.0,166.0,961.0,1655.0,0.469243782,QQQ,2019-01-30,161.19,161.77,158.47,158.96,42498795.0,165.68,166.28,162.89,163.39
72.0,QQQ,2019-02-06,2019-02-08,13223.0,8614.0,171.0,2412.0,5938.0,0.424061527,QQQ,2019-02-06,165.9,166.72,165.15,166.42,28749499.0,170.52,171.37,169.75,171.06
101.0,QQQ,2019-02-13,2019-02-15,7558.0,13639.0,172.0,2773.0,3140.0,0.361980805,QQQ,2019-02-13,166.37,167.49,166.19,166.97,26821321.0,171.01,172.16,170.82,171.62
72.0,QQQ,2019-02-20,2019-02-22,12227.0,7004.0,172.0,6582.0,10866.0,0.534854095,QQQ,2019-02-20,167.58,168.39,166.68,167.76,33501236.0,172.25,173.08,171.32,172.43
58.0,QQQ,2019-02-27,2019-03-01,8102.0,7390.0,173.0,5326.0,8404.0,0.57744098,QQQ,2019-02-27,168.88,169.09,167.1,168.23,25863236.0,173.59,173.8,171.76,172.92
57.0,QQQ,2019-03-06,2019-03-08,15066.0,8194.0,174.0,7618.0,16723.0,0.432053878,QQQ,2019-03-06,168.85,170.01,168.58,169.94,27952381.0,173.56,174.75,173.28,174.68
101.0,QQQ,2019-03-13,2019-03-15,4976.0,4100.0,176.5,4610.0,9630.0,0.666627745,QQQ,2019-03-13,172.21,173.11,171.57,171.81,43608488.0,177.01,177.93,176.35,176.6
70.0,QQQ,2019-03-20,2019-03-22,3457.0,2335.0,180.5,832.0,2400.0,0.417077894,QQQ,2019-03-20,175.2,176.28,173.72,174.52,51407703.0,179.76,180.86,178.24,179.06
65.0,QQQ,2019-03-27,2019-03-29,613.0,6522.0,175.0,31391.0,11673.0,0.860790184,QQQ,2019-03-27,173.39,175.16,172.12,174.73,38061180.0,177.9,179.72,176.6,179.27
57.0,QQQ,2019-04-03,2019-04-05,7787.0,4662.0,184.5,84.0,4837.0,0.351812284,QQQ,2019-04-03,179.12,180.23,178.57,179.08,32455925.0,183.78,184.92,183.21,183.74
58.0,QQQ,2019-04-10,2019-04-12,2708.0,3117.0,185.5,1457.0,2235.0,0.497448998,QQQ,2019-04-10,180.77,180.83,179.84,180.07,25201575.0,185.47,185.53,184.52,184.75
110.0,QQQ,2019-04-17,2019-04-18,10756.0,14165.0,187.5,726.0,9311.0,0.394825547,QQQ,2019-04-17,182.41,183.17,181.87,182.99,30422489.0,187.15,187.93,186.6,187.75
69.0,QQQ,2019-04-24,2019-04-26,3853.0,3853.0,190.5,1270.0,8972.0,0.458719549,QQQ,2019-04-24,184.9,185.88,184.84,185.73,25626551.0,189.71,190.71,189.65,190.56
55.0,QQQ,2019-05-01,2019-05-03,2115.0,5573.0,189.5,3947.0,2267.0,0.508509013,QQQ,2019-05-01,184.14,186.47,184.01,185.93,35701880.0,188.93,191.32,188.8,190.76
46.0,QQQ,2019-05-08,2019-05-10,6896.0,4911.0,187.0,11444.0,1882.0,0.441668966,QQQ,2019-05-08,181.06,182.43,180.27,180.97,38131680.0,185.77,187.17,184.96,185.68
100.0,QQQ,2019-05-15,2019-05-17,3071.0,9241.0,181.0,9884.0,5681.0,0.7568274,QQQ,2019-05-15,178.45,178.9,174.77,174.84,42009125.0,183.09,183.55,179.31,179.39
64.0,QQQ,2019-05-22,2019-05-24,12301.0,10962.0,182.0,7293.0,6672.0,0.436007853,QQQ,2019-05-22,176.43,177.46,176.17,176.23,24965195.0,181.02,182.07,180.75,180.81
30.0,QQQ,2019-05-29,2019-05-31,4978.0,399.0,176.5,4419.0,4872.0,0.46742936,QQQ,2019-05-29,171.57,172.51,170.65,171.98,43275422.0,176.03,177.0,175.09,176.45
40.0,QQQ,2019-06-05,2019-06-07,27787.0,3762.0,176.0,6141.0,9197.0,0.49552782,QQQ,2019-06-05,171.74,172.13,169.96,172.12,35307399.0,176.21,176.61,174.38,176.6
58.0,QQQ,2019-06-12,2019-06-14,3783.0,5425.0,183.0,4233.0,4167.0,0.389539584,QQQ,2019-06-12,177.72,178.64,177.39,178.24,28479858.0,182.34,183.28,182.0,182.88
104.0,QQQ,2019-06-19,2019-06-21,7536.0,7217.0,186.5,2788.0,3963.0,0.643208265,QQQ,2019-06-19,182.37,182.78,180.87,182.0,32496349.0,187.11,187.53,185.57,186.73
70.0,QQQ,2019-06-26,2019-06-28,7799.0,8085.0,187.0,9736.0,6366.0,0.353727343,QQQ,2019-06-26,181.48,182.99,181.19,181.81,23132085.0,185.79,187.33,185.49,186.13
76.0,QQQ,2019-07-03,2019-07-05,4584.0,21231.0,191.0,909.0,5441.0,0.544733758,QQQ,2019-07-03,187.0,187.0,185.88,186.03,16166876.0,191.44,191.44,190.29,190.45
77.0,QQQ,2019-07-10,2019-07-12,1741.0,6671.0,191.5,966.0,4367.0,0.685434264,QQQ,2019-07-10,188.09,188.61,187.03,187.34,29048070.0,192.56,193.09,191.47,191.79
90.0,QQQ,2019-07-17,2019-07-19,22331.0,25487.0,192.5,9575.0,3407.0,0.534761033,QQQ,2019-07-17,187.74,189.0,187.72,188.72,17162970.0,192.2,193.49,192.18,193.2
68.0,QQQ,2019-07-24,2019-07-26,4535.0,5580.0,195.0,3478.0,6017.0,0.519098568,QQQ,2019-07-24,190.62,190.64,188.55,188.59,20907601.0,195.15,195.16,193.03,193.07
56.0,QQQ,2019-07-31,2019-08-02,5466.0,7766.0,191.0,9422.0,10161.0,0.619091327,QQQ,2019-07-31,186.67,189.92,184.93,189.8,42615565.0,191.1,194.43,189.32,194.31
48.0,QQQ,2019-08-07,2019-08-09,7178.0,3189.0,184.0,6002.0,3739.0,0.533826008,QQQ,2019-08-07,179.98,180.23,175.72,177.12,51177201.0,184.25,184.51,179.89,181.32
75.0,QQQ,2019-08-14,2019-08-16,5576.0,3803.0,184.5,6616.0,3370.0,0.380387555,QQQ,2019-08-14,178.52,181.64,178.19,181.01,52211192.0,182.76,185.95,182.42,185.31
59.0,QQQ,2019-08-21,2019-08-23,6090.0,5731.0,189.0,3012.0,5099.0,0.445907619,QQQ,2019-08-21,184.26,184.84,183.6,184.28,21237870.0,188.63,189.23,187.96,188.66
48.0,QQQ,2019-08-28,2019-08-30,493.0,918.0,181.0,8671.0,1907.0,0.834277386,QQQ,2019-08-28,180.8,181.1,178.67,179.58,22367357.0,185.09,185.4,182.91,183.84
56.0,QQQ,2019-09-04,2019-09-06,4012.0,5937.0,188.0,3094.0,6371.0,0.560946046,QQQ,2019-09-04,183.96,184.12,182.57,183.08,22190862.0,188.33,188.49,186.9,187.43
59.0,QQQ,2019-09-11,2019-09-13,7504.0,8085.0,192.0,4608.0,6565.0,0.504426843,QQQ,2019-09-11,187.97,188.07,186.14,186.55,25658574.0,192.43,192.53,190.56,190.98
94.0,QQQ,2019-09-18,2019-09-20,3604.0,5983.0,192.5,3227.0,2385.0,0.501242471,QQQ,2019-09-18,188.06,188.13,185.7,187.74,31912990.0,192.52,192.6,190.11,192.2
51.0,QQQ,2019-09-25,2019-09-27,4367.0,4095.0,190.0,9262.0,8073.0,0.552214695,QQQ,2019-09-25,186.05,186.54,182.26,183.8,37290321.0,190.08,190.58,186.21,187.79
37.0,QQQ,2019-10-02,2019-10-04,5137.0,813.0,186.0,8094.0,5394.0,0.29282229,QQQ,2019-10-02,180.14,183.23,179.14,182.06,49992649.0,184.05,187.2,183.02,186.01
48.0,QQQ,2019-10-09,2019-10-11,10109.0,5600.0,187.0,6334.0,7508.0,0.565046465,QQQ,2019-10-09,183.26,184.09,182.47,183.3,21278085.0,187.23,188.08,186.43,187.27
112.0,QQQ,2019-10-16,2019-10-18,6874.0,9394.0,193.5,2187.0,3632.0,0.401390703,QQQ,2019-10-16,188.94,189.42,188.35,188.79,21137707.0,193.04,193.53,192.43,192.88
56.0,QQQ,2019-10-23,2019-10-25,15755.0,3280.0,191.5,6402.0,9151.0,0.590779527,QQQ,2019-10-23,188.14,188.18,187.09,187.37,15527766.0,192.22,192.26,191.15,191.43
56.0,QQQ,2019-10-30,2019-11-01,10805.0,4479.0,197.0,3945.0,3605.0,0.503780908,QQQ,2019-10-30,192.81,193.13,191.15,192.25,22236114.0,196.99,197.32,195.29,196.42
64.0,QQQ,2019-11-06,2019-11-08,8646.0,12521.0,200.0,7745.0,7646.0,0.411537998,QQQ,2019-11-06,195.52,195.76,194.57,195.74,20153005.0,199.76,200.0,198.78,199.98
112.0,QQQ,2019-11-13,2019-11-15,13832.0,29975.0,201.0,9136.0,14685.0,0.584484737,QQQ,2019-11-13,197.31,197.49,196.45,196.58,16447896.0,201.59,201.77,200.71,200.84
68.0,QQQ,2019-11-20,2019-11-22,13585.0,24240.0,203.0,8315.0,18976.0,0.300484352,QQQ,2019-11-20,197.86,199.13,196.36,198.55,37501928.0,202.15,203.45,200.62,202.85
