index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
197.0,SPY,2019-01-02,2019-01-04,15187.0,8177.0,251.0,3101.0,3768.0,0.37403169,SPY,2019-01-02,235.13,236.1,231.16,231.19,135046500.0,250.18,251.21,245.95,245.98
281.0,SPY,2019-01-09,2019-01-11,9353.0,1657.0,258.5,71.0,4622.0,0.431193866,SPY,2019-01-09,242.46,243.34,240.78,242.07,101085456.0,257.97,258.91,256.19,257.56
272.0,SPY,2019-01-16,2019-01-18,18522.0,2586.0,261.5,253.0,19738.0,0.467338385,SPY,2019-01-16,245.29,246.22,244.93,245.14,82604260.0,260.98,261.97,260.6,260.83
252.0,SPY,2019-01-23,2019-01-25,16285.0,3600.0,263.5,3828.0,5923.0,0.473912369,SPY,2019-01-23,247.57,248.87,244.98,248.13,91534837.0,263.41,264.79,260.66,264.01
226.0,SPY,2019-01-30,2019-02-01,6765.0,4413.0,267.5,722.0,3553.0,0.507709004,SPY,2019-01-30,251.49,252.37,248.36,249.16,98390485.0,267.58,268.52,264.25,265.1
206.0,SPY,2019-02-06,2019-02-08,24233.0,13693.0,273.0,7051.0,24665.0,0.462864671,SPY,2019-02-06,256.34,256.9,255.57,256.38,62081078.0,272.74,273.34,271.92,272.79
268.0,SPY,2019-02-13,2019-02-15,43363.0,73023.0,275.0,7526.0,38627.0,0.544224057,SPY,2019-02-13,258.45,259.34,258.05,258.49,69453954.0,274.99,275.93,274.56,275.03
175.0,SPY,2019-02-20,2019-02-22,39646.0,9476.0,278.0,3680.0,29152.0,0.561541002,SPY,2019-02-20,261.67,262.15,260.58,261.1,81512619.0,278.41,278.92,277.25,277.81
175.0,SPY,2019-02-27,2019-03-01,12536.0,2338.0,279.5,2874.0,8682.0,0.441059046,SPY,2019-02-27,262.41,262.78,260.79,261.77,60563605.0,279.2,279.59,277.48,278.52
153.0,SPY,2019-03-06,2019-03-08,15874.0,2895.0,278.5,4759.0,10100.0,0.355555776,SPY,2019-03-06,260.65,262.37,260.31,262.36,79841101.0,277.33,279.16,276.97,279.15
249.0,SPY,2019-03-13,2019-03-15,24894.0,5701.0,281.5,478.0,14179.0,0.475321248,SPY,2019-03-13,264.42,265.4,263.44,263.61,85798764.0,281.34,282.38,280.3,280.48
150.0,SPY,2019-03-20,2019-03-22,28776.0,7838.0,283.5,2193.0,2872.0,0.301842617,SPY,2019-03-20,265.78,267.62,264.62,266.36,89628118.0,281.55,283.5,280.32,282.16
