index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
36.0,TSLA,2019-01-02,2019-01-04,4943.0,768.0,315.0,1107.0,512.0,0.37414944,TSLA,2019-01-02,20.67,21.01,19.92,20.41,174878992.0,310.12,315.13,298.8,306.1
51.0,TSLA,2019-01-09,2019-01-11,1615.0,752.0,342.5,164.0,352.0,0.416968315,TSLA,2019-01-09,22.57,22.9,22.1,22.37,81493496.0,338.53,343.5,331.47,335.5
86.0,TSLA,2019-01-16,2019-01-18,806.0,624.0,347.5,315.0,1436.0,0.51390062,TSLA,2019-01-16,23.07,23.47,22.9,22.98,70375496.0,346.05,352.0,343.5,344.78
37.0,TSLA,2019-01-23,2019-01-25,1209.0,324.0,292.5,494.0,803.0,0.351131154,TSLA,2019-01-23,19.17,19.63,18.78,19.5,187948496.0,287.59,294.5,281.69,292.5
43.0,TSLA,2019-01-30,2019-02-01,1055.0,490.0,307.5,215.0,297.0,0.514728183,TSLA,2019-01-30,20.58,20.6,19.9,20.03,168754496.0,308.77,309.0,298.49,300.45
47.0,TSLA,2019-02-06,2019-02-08,860.0,582.0,317.5,324.0,892.0,0.537952033,TSLA,2019-02-06,21.15,21.62,21.04,21.31,75577496.0,317.22,324.24,315.62,319.59
71.0,TSLA,2019-02-13,2019-02-15,4713.0,4227.0,310.0,8440.0,4567.0,0.415453079,TSLA,2019-02-13,20.54,20.85,20.37,20.82,77123992.0,308.17,312.75,305.57,312.35
45.0,TSLA,2019-02-20,2019-02-22,1531.0,364.0,302.5,738.0,1522.0,0.481525904,TSLA,2019-02-20,20.17,20.42,19.93,20.29,107131496.0,302.56,306.3,299.0,304.41
44.0,TSLA,2019-02-27,2019-03-01,13212.0,3878.0,310.0,809.0,4150.0,0.609830314,TSLA,2019-02-27,20.98,21.09,20.04,20.12,167758496.0,314.74,316.3,300.55,301.78
46.0,TSLA,2019-03-06,2019-03-08,6034.0,1893.0,280.0,3091.0,2869.0,0.414952119,TSLA,2019-03-06,18.42,18.77,18.29,18.43,155030992.0,276.24,281.51,274.39,276.48
68.0,TSLA,2019-03-13,2019-03-15,6653.0,4951.0,290.0,7177.0,1841.0,0.450857097,TSLA,2019-03-13,19.26,19.47,18.85,18.93,102670496.0,288.96,291.99,282.7,283.9
32.0,TSLA,2019-03-20,2019-03-22,3602.0,1104.0,272.5,952.0,558.0,0.540384903,TSLA,2019-03-20,18.24,18.33,17.75,17.98,103622992.0,273.6,274.97,266.3,269.69
36.0,TSLA,2019-03-27,2019-03-29,7519.0,4374.0,275.0,1403.0,1521.0,0.487609275,TSLA,2019-03-27,18.32,18.36,17.88,17.92,131686488.0,274.83,275.37,268.18,268.75
44.0,TSLA,2019-04-03,2019-04-05,3664.0,3138.0,295.0,406.0,1210.0,0.463831498,TSLA,2019-04-03,19.45,19.74,19.14,19.16,118946992.0,291.81,296.17,287.17,287.32
36.0,TSLA,2019-04-10,2019-04-12,4206.0,1488.0,277.5,537.0,1984.0,0.489011091,TSLA,2019-04-10,18.4,18.56,18.19,18.45,105919496.0,276.06,278.38,272.89,276.74
49.0,TSLA,2019-04-17,2019-04-18,2811.0,3122.0,270.0,5798.0,5664.0,0.606153433,TSLA,2019-04-17,18.08,18.32,17.9,18.32,76895992.0,271.23,274.79,268.54,274.75
38.0,TSLA,2019-04-24,2019-04-26,3036.0,1998.0,265.0,3021.0,1705.0,0.437791477,TSLA,2019-04-24,17.24,17.69,17.2,17.59,160910992.0,258.66,265.32,258.0,263.85
29.0,TSLA,2019-05-01,2019-05-03,7912.0,3475.0,240.0,4513.0,2030.0,0.274131159,TSLA,2019-05-01,15.6,16.0,15.43,15.92,160564496.0,234.01,240.0,231.5,238.85
26.0,TSLA,2019-05-08,2019-05-10,7640.0,7709.0,250.0,2848.0,1393.0,0.324651312,TSLA,2019-05-08,16.32,16.71,16.28,16.46,92645992.0,244.84,250.6,244.2,246.94
39.0,TSLA,2019-05-15,2019-05-17,5765.0,2360.0,230.0,5518.0,4542.0,0.592291635,TSLA,2019-05-15,15.46,15.5,15.02,15.29,109438496.0,231.95,232.44,225.25,229.32
30.0,TSLA,2019-05-22,2019-05-24,17729.0,2591.0,200.0,6121.0,10657.0,0.297991179,TSLA,2019-05-22,12.85,13.6,12.78,13.27,280276480.0,192.73,203.94,191.78,199.1
44.0,TSLA,2019-05-29,2019-05-31,9379.0,3881.0,190.0,6905.0,8610.0,0.527318069,TSLA,2019-05-29,12.66,12.83,12.34,12.47,179528992.0,189.86,192.39,185.04,187.1
70.0,TSLA,2019-06-05,2019-06-07,15065.0,7336.0,200.0,1546.0,2812.0,0.395889918,TSLA,2019-06-05,13.11,13.42,12.79,13.24,202660496.0,196.59,201.28,191.85,198.68
74.0,TSLA,2019-06-12,2019-06-14,13962.0,5144.0,220.0,716.0,3325.0,0.17602518,TSLA,2019-06-12,13.95,14.89,13.93,14.86,227962496.0,209.26,223.38,209.0,222.95
51.0,TSLA,2019-06-19,2019-06-21,5064.0,6843.0,225.0,5843.0,4844.0,0.573607835,TSLA,2019-06-19,15.1,15.18,14.74,15.01,98626496.0,226.43,227.77,221.06,225.11
39.0,TSLA,2019-06-26,2019-06-28,7119.0,2970.0,225.0,1677.0,3924.0,0.281664191,TSLA,2019-06-26,14.62,15.15,14.54,14.69,127607992.0,219.27,227.23,218.1,220.31
49.0,TSLA,2019-07-03,2019-07-05,16242.0,6279.0,240.0,116.0,4447.0,0.262757578,TSLA,2019-07-03,15.66,16.1,15.63,15.96,213016496.0,234.9,241.57,234.51,239.39
46.0,TSLA,2019-07-10,2019-07-12,7174.0,3210.0,235.0,1068.0,5820.0,0.659580598,TSLA,2019-07-10,15.93,15.93,15.54,15.61,137185488.0,238.92,238.94,233.14,234.15
57.0,TSLA,2019-07-17,2019-07-19,12674.0,11737.0,255.0,2195.0,14482.0,0.540376288,TSLA,2019-07-17,16.99,17.22,16.89,17.05,146470496.0,254.86,258.31,253.35,255.67
